health_conditions,Financial_vul,living_alone,weight0,用途分类,Communication and social(emails),Communication and social( video calls),Communication and social(messaging),Communication and social( ),entertainment information(news),entertainment information(products),entertainment(games),entertainment(gaming),entertainment(music),entertainment(movies),entertainment(dating),utility (banking),utility (job),utility (Applying for benefits),utility (public service2),Other,None
No,,No,0.49761,通信社交,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
No,,Yes,0.772714,无上网, , , , , , , , , , , , , , , , , 
No,Least,Yes,0.334356,通信社交,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No
No,,No,0.772714,无上网, , , , , , , , , , , , , , , , , 
No,,Yes,0.773681,通信社交,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
No,Potentially,No,0.773681,通信社交,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No
No,Potentially,No,0.488211,实用功能,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Yes,Most,Yes,0.688838,通信社交,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No
Yes,,Yes,0.688838,通信社交,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
No,,No,0.773681,通信社交,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No
No,Potentially,No,0.773681,通信社交,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No
No,,No,0.688838,通信社交,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No
No,Potentially,No,0.773681,通信社交,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No
No,,No,0.43413,通信社交,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No
Yes,,No,0.717846,娱乐信息,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
No,Most,No,0.773681,通信社交,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
No,,No,0.773681,通信社交,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No
No,Most,Yes,0.43413,无上网, , , , , , , , , , , , , , , , , 
No,Most,Yes,0.488211,通信社交,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Yes,Potentially,Yes,0.773681,通信社交,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No
Yes,Most,No,0.773681,无上网, , , , , , , , , , , , , , , , , 
Yes,Most,Yes,0.43413,通信社交,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
No,Potentially,No,0.43413,无上网,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
No,Most,Yes,0.488211,娱乐信息,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
No,Potentially,Yes,0.688838,通信社交,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No
No,Potentially,Yes,0.688838,通信社交,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
No,Most,Yes,0.43413,通信社交,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No
No,Most,Yes,0.488211,无上网, , , , , , , , , , , , , , , , , 
Yes,Potentially,No,0.43413,无上网, , , , , , , , , , , , , , , , , 
Yes,Potentially,No,0.773681,无上网, , , , , , , , , , , , , , , , , 
No,Potentially,No,0.43413,通信社交,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No
No,,No,0.688838,无上网,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
No,,Yes,0.717846,通信社交,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No
No,,No,0.43413,无上网, , , , , , , , , , , , , , , , , 
No,,No,0.773681,通信社交,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No
No,,No,0.997109,娱乐信息,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
No,,No,0.717846,无上网,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
No,,No,0.997109,娱乐信息,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No
Yes,Potentially,Yes,0.43413,娱乐信息,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
No,,No,0.773681,通信社交,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No
No,Potentially,No,0.43413,无上网, , , , , , , , , , , , , , , , , 
Yes,Potentially,No,0.773681,无上网, , , , , , , , , , , , , , , , , 
Yes,Most,Yes,0.997109,无上网, , , , , , , , , , , , , , , , , 
No,Potentially,Yes,0.997109,通信社交,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No
Yes,Potentially,No,0.488211,无上网, , , , , , , , , , , , , , , , , 
No,Potentially,No,0.773681,通信社交,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
No,Potentially,No,0.717846,通信社交,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
No,Most,No,0.997109,无上网, , , , , , , , , , , , , , , , , 
Yes,,No,0.773681,通信社交,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No
